4,3,5,5,3,4,3,3,4,4,3,3,13,9,9
4,3,5,5,4,3,5,3,4,13,13,13,13,9,9
3,4,5,5,3,4,3,5,3,13,13,9,9,9,9
4,5,4,5,3,3,5,3,5,4,13,13,9,9,9
5,4,5,5,5,5,3,5,4,4,4,13,9,9,9
6,6,7,7,8,7,5,3,3,13,13,13,9,9,9
6,6,8,6,6,7,5,5,3,13,13,13,9,9,9
7,7,6,7,8,8,5,4,5,13,13,9,9,9,9
4,5,3,3,4,3,4,4,4,5,13,13,13,9,9
3,3,4,3,4,4,5,5,4,5,3,5,13,13,9
3,5,3,4,5,4,4,5,4,5,5,3,4,13,9
13,13,3,13,5,3,3,3,5,13,3,5,13,13,9
13,13,3,13,13,13,13,13,13,13,3,3,13,9,9
13,3,4,5,13,5,4,13,3,13,13,13,13,9,9
13,5,4,3,4,3,4,13,5,4,13,9,9,9,9
13,4,5,4,3,3,4,13,13,3,13,9,9,9,9
13,4,3,5,4,3,13,13,13,13,13,9,9,9,9
13,13,13,5,4,13,13,9,9,9,9,9,9,9,-1
9,9,13,13,13,13,9,9,-1,-1,-1,9,9,-1,-1
9,9,9,9,9,9,9,-1,-1,-1,-1,-1,-1,-1,-1
